Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
25049615,Priyanka Nutakki,IND,F,2002,WIM,2263,1922,1916,
2266423,"Robles Garcia, Claudia",ESP,F,1990,WIM,2263,,,wi
13429310,"Dadashli, Narmin",AZE,F,1993,WFM,2262,,,wi
4162919,"Grigoryeva, Natalya",RUS,F,1982,,2262,,,wi
3511685,"Hernandez Moya, Yuleisy",CUB,F,1992,WGM,2262,,2156,
8607664,"Li, Yunshan",CHN,F,2002,WIM,2262,2028,1999,
3507700,"Miranda Llanes, Yerisbel",CUB,F,1987,WIM,2262,,2260,
54117739,"Nur-Mukhametova, Alisa",RUS,F,2005,,2262,2031,1819,
4119851,"Roschina, Tatiana",RUS,F,1976,WGM,2262,,,wi
4150740,"Burtasova, Anna",CAN,F,1987,WGM,2261,2265,2215,
4164903,"Lelekova, Olga",RUS,F,1987,WIM,2261,2190,2052,wi
4127951,"Mirzoeva, Elmira",RUS,F,1981,WGM,2261,2271,2135,wi
35061887,Savitha Shri B,IND,F,2007,WFM,2261,1687,1787,
8602816,"Zeng, Bei",CHN,F,,,2261,,,wi
4141237,"Ibragimova, Lilia",RUS,F,1966,,2260,2222,2204,wi
702358,"Ivanka, Maria",HUN,F,1950,WGM,2260,,,wi
4124111,"Karavaeva, Olga",RUS,F,1977,WIM,2260,2190,2105,wi
13600419,"Khurtsilava, Inga",GEO,F,1975,WGM,2260,2049,2074,wi
4185803,"Kostyuk, Tatiana",RUS,F,1979,,2260,,,wi
301680,"Kratochvilova, Jana",CZE,F,1999,,2260,,,wi
4173490,"Kuleshova, Nadezhda N",RUS,F,1985,,2260,,,wi
401510,"Lalic, Susan K",ENG,F,1965,IM,2260,,,wi
4149084,"Lidonova, Gulnara",RUS,F,1973,WFM,2260,,,wi
2808072,"Porat, Maya",ISR,F,1991,WIM,2260,,2180,
4108256,"Rubzova, Tatiana",RUS,F,1962,WGM,2260,2248,,wi
8600287,"An, Yangfeng",CHN,F,1963,WIM,2259,,,wi
1108824,"Bayer, Dorota",POL,F,1980,WIM,2259,,,wi
4108752,"Grabuzova, Tatiana",RUS,F,1967,WGM,2259,2202,2156,
1152254,"Kubicka, Anna",POL,F,1999,WIM,2259,2090,1992,
4152654,"Meshcheriakova, Evgenia",RUS,F,1985,WGM,2259,,,wi
2802244,"Pitam, Ella",ISR,F,1977,WGM,2259,,,wi
2102390,"Ratcu, Tatiana",BRA,F,1979,WIM,2259,,,wi
1019481,"Schut, Lisa",NED,F,1994,WIM,2259,2383,2234,wi
913553,"Velikic, Adela",SRB,F,1997,WIM,2259,2240,2132,
4640586,"Meier, Annemarie",GER,F,1957,,2258,,,wi
12401676,"Nguyen, Thi Mai Hung",VIE,F,1994,WGM,2258,2271,2129,
4172132,"Shulepina, Kristina",RUS,F,1987,WIM,2258,,,wi
4141296,"Vasilevich, Irina",RUS,F,1985,IM,2258,2176,2153,wi
14102110,"Zozulia, Anna",BEL,F,1980,IM,2258,2245,2277,wi
706787,"Felkai, Agnes",HUN,F,1974,,2257,,,wi
4123417,"Malina, Diana",RUS,F,1977,WFM,2257,2240,,wi
905992,"Markovic, Gordana",SRB,F,1951,WIM,2257,,,wi
2620472,"Ouellet, Maili-Jade",CAN,F,2002,WGM,2257,2113,1886,
4404564,"Rodriguez Rueda, Paula Andrea",COL,F,1996,IM,2257,2312,2199,wi
4617304,"Belic, Jordanka",SRB,F,1964,WGM,2256,,,
14905779,"Cibickova, Zuzana",SVK,F,1988,WGM,2256,2291,2234,
25096990,Mrudul Dehankar,IND,F,2004,WIM,2256,1586,1766,
1200712,"Olarasu, Gabriela",ROU,F,1964,WGM,2256,,,wi
1213776,"Sgircea, Silvia-Raluca",ROU,F,1989,WIM,2256,2196,2120,
6000347,"Corke, Anya S",ENG,F,1990,WGM,2255,,,wi
14102366,"Kalinina, Vladislava",UKR,F,1980,WIM,2255,,,wi
44164548,"Pogorelskikh, Sofia",RUS,F,2004,,2255,1912,1829,
2807602,"Gutmakher, Olga",ISR,F,1987,WIM,2254,2243,,
4113721,"Gvanceladze, Anna",RUS,F,1993,WFM,2254,2087,2053,
5201829,"Camacho, Chardine Cheradee",PHI,F,1994,WIM,2253,,2181,wi
5001080,"Mahalakshmi, M",IND,F,1998,WIM,2253,2060,2176,
13502875,"Romanova, Inna",BLR,F,1975,WGM,2253,,,wi
