Date,Location/Operator,Aircraft Type/Registration,Fatalities
05 Oct 1945,"Elvetham, EnglandMilitary -Royal Air Force",Consolidated LB-40-A Liberator?,23/23(0)
07 Oct 1945,"Rennes, FranceMilitary - Royal Air Force",Short Stirling IVLJ668,26/26(0)
13 Oct 1945,"Melsbroek, BelgiumMilitary -Royal Air Force",Consolidated LB-30-A LiberatorKL595,31/31(0)
16 Oct 1945,"Near Peking, ChinaMilitary - U.S. Army Air Forces",Curtiss-Wright C-46F-CU44-78591,59/59(0)
20 Oct 1945,"Between Shanghi and Canton, ChinaChina National Aviation Corporation",Douglas C-47?,31/31(0)
20 Oct 1945,"Timor Sea, Atlantic OceanMilitary - Royal Australian Air Force",Douglas C-47BA65-83,25/25(0)
23 Oct 1945,"Near Chiringa, IndiaMilitary - Royal Air Force",Douglas C-47BKJ957,14/14(0)
24 Oct 1945,"Valetta, MaltaBOAC",Douglas C-47 Skytrain (DC-3)G-AGHR,9/16(0)
24 Oct 1945,"Tarapoto, PeruFaucett",Faucett F-19OB-PAG-139,5/5(0)
30 Oct 1945,"Chihchiang, ChinaMilitary - U.S. Army Air Forces",Curtiss-Wright C-46A-CK43-47228,45/50(0)
01 Nov 1945,"Herrenalb, GermanyMilitary - U.S. Army Air Forces",Douglas C-47A-DK42-93041,26/30(0)
03 Nov 1945,"Near Chuka, IndiaMilitary - U.S. Army Air Forces",Douglas C-54G45528A,44/44(0)
07 Nov 1945,"Near Grants, New MexicoNational Skyway Freight Co.",Budd RB-1 Conestoga?,1/3(0)
08 Nov 1945,"Off Corpus Christi, TexasMilitary - U.S. Navy / Military - U.S. Navy",Martin PBM-3S  / Martin PBM-501710 / 69113,22/27(0)
09 Nov 1945,"Near Boccadi, ItalyMilitary - U.S. Army Air Forces",Douglas C-47A-DL42-24363,24/24(0)
11 Nov 1945,"Near Castel, LibyaMilitary -Royal Air Force",Short StirlingPJ950,29/29(0)
11 Nov 1945,HimalayasMilitary - U.S. Army,Douglas C-54?,44/44(0)
11 Nov 1945,"Near Picinisco, ItalyMilitary - U.S. Army Air Forces",Boeing B-17G43-9197,20/20(0)
13 Nov 1945,"Near Tacloban, PhilippinesAustralian National Airways",Douglas C-48VH-CDC,16/17(?)
15 Nov 1945,Near Jacquinot Bay  New GuineaMilitary - Royal Australian Air Force,Douglas C-47 Dakota-DKA6554,28/28(0)
22 Nov 1945,"White's Farm, EnglandMilitary -Royal Air Force",Consolidated LB-30A LiberatorKH126,27/27(0)
03 Dec 1945,"Near Rochefort , FranceMilitary -Royal Air Force",Consolidated LB-30A LiberatorKH125,28/28(0)
05 Dec 1945,Off the Florida coastMilitary - U.S. Navy,Five Grumman TBM Avengers?,14/14(0)
08 Dec 1945,"Near Billings, MontanaMilitary - U.S. Army",Douglas C-4745-0922,17/21(0)
18 Dec 1945,"Voksenkollen, NorwayMilitary - Royal Air Force",Douglas C-47BKN413,17/17(0)
25 Dec 1945,"Bangui, French Equatorial AfricaAir France",Lockheed 18 LodestarF-BALV,8/8(0)
25 Dec 1945,"Near Dudinka, RussiaPolyarnya Aviatsiya",Douglas DC-3?,10/10(0)
30 Dec 1945,"New York City, New YorkEastern Air Lines",Douglas DC-3NC18l23,1/12(0)
06 Jan 1946,"Birmingham, AlabamaPennsylvania Central Airlines",Douglas DC-3N21786,3/11(0)
09 Jan 1946,"Changchun, ChinaMilitary - Chinese Air Force",Douglas C-47?,18/18(0)
14 Jan 1946,"Near Netrubezh, RussiaAeroflot",Lisunov Li-2SSSR-4150,22/22(0)
15 Jan 1946,"Marseilles, FranceMilitary -Royal Air Force",Douglas C-47 DakotaKN557,23/25(0)
18 Jan 1946,"Cheshire, ConnecticutEastern Air Lines",Douglas DC-3-201ENC19970,17/17(0)
19 Jan 1946,"Crowsnest Pass, Alberta, CanadaMililtary - Royal Canadian Air Force",Douglas DC-3 Dakota?,7/7(0)
30 Jan 1946,"Near Le Mans, FranceMilitary - Royal Air Force",Douglas C-47BKN500,11/11(0)
31 Jan 1946,"Mt. Elk, WyomingUnited Air Lines",Douglas DC-3-194HNC25675,21/21(0)
05 Feb 1946,"Negros, PhilippinesMilitary - U.S. Army Air Forces",Douglas C-47?,20/20(0)
21 Feb 1946,"Charlottetown, PE, CanadaBritish Overseas Airways",Consolidated 32-2 Liberator IIG-AGEM,1/14(0)
03 Mar 1946,"Live Oak Springs, CaliforniaAmerican Airlines",Douglas DC-3-227BNC21799,27/27(0)
05 Mar 1946,"Near Prague, CzechoslovakiaCeskoslovenske Aerolinie",Junkers JU-52/3mOK-ZDN,12/15(0)
10 Mar 1946,"Off Hobart, TasmaniaAustralian National Airways",Douglas DC-3 (C-47DL)VH-AET,25/25(0)
17 Mar 1946,"Near Nanking, ChinaMilitary - Chinese Air Force",??,20/20(0)
18 Mar 1946,"Between Chungking and Shanghai, ChinaChina National Aviation Corporation",?139,?/?(?)
19 Mar 1946,"Hobart Mills, CaliforniaMilitary - U.S. Army Air Forces",Douglas C-47B45-1085,26/26(0)
23 Mar 1946,"Off Ceylon, Cocos Islands, Indian OceanBritish Overseas Airways /Qantas",Avro 691 Lancastrian 1G-AGLX,10/10(0)
01 Apr 1946,"near Craigavad, Northern IrelandRailway Air Services Ltd.",de Hvilland 89A Dragon RapideG-AERZ,6/6(0)
05 Apr 1946,"Rabat, MaltaMilitary - Royal British Navy",Vickers Wellington bomberHE-274,4/4(16)
08 Apr 1946,"Near Shensi, China?",??,14/14(0)
22 Apr 1946,"La Liberiad, NicaraguaTACA",Lockheed 14 Super ElectraAN-ACC,20/21(0)
30 Apr 1946,"Pindi-Khut ,IndiaMilitary - Royal Air Force",Douglas C-47A FZ559,12/12(0)
10 May 1946,"Munson, FloridaMilitary U.S. Navy / Military - U.S. Navy",PBY4-2 Privateer / PB4Y-2 Privateer?,28/28(0)
16 May 1946,"Richmond, VirginiaViking Air Transport",Douglas DC-3NC53218,27/27(0)
22 May 1946,"Oslo, NorwayDNL Norwegian Air Lines",Junkers JU-52/3mLN-LAB,13/14(0)
01 Jun 1946,"Off Amalfi, ItalyMilitary - U.S. Army Air Forces",Douglas C-54-DO (DC-4)44-9078,30/38(0)
09 Jun 1946,"Taboga Island, PanamaMilitary - U.S. Army Air Forces",Douglas C-54D-DC (DC-4)43-17231,23/23(0)
09 Jun 1946,"Near Abeokuta, NigeriaMilitary -Royal Air Force",Douglas C-47 DakotaKG747,18/18(0)
29 Jun 1946,Off MalayaMilitary - Royal Air Force,Douglas C-47BKJ918,18/18(0)
29 Jun 1946,"Pau, FranceAir France",Junkers Ju-52/3mF-BAJS,2/3(0)
09 Jul 1946,"Holyoke, MassachusettsMilitary - U.S. Army Air Forces",Boeing B17G43-39136,25/25(0)
11 Jul 1946,"Reading, PennsylvaniaTrans Continental and Western Air",Lockheed L-049 ConstellationNC86513,5/6(0)
13 Jul 1946,"Tsinan, ChinaCentral Air Transport",Curtiss C-46?,13/49(0)
17 Jul 1946,"Cuenca, EcuadorANDESA",Curtiss C-46D-10-CUHC-SCA,30/30(0)
18 Jul 1946,"Goodland, KansasMilitary - U.S. Army Air Corps",Douglas C-47?,13/13(0)
20 Jul 1946,Off the Panama coastMilitary -  (2) U.S. Army Air Forces,Boeing B-17G / Boeing B-17G4485624/4485626,20/20(0)
25 Jul 1946,"Bassein, BurmaMilitary -Royal Air Force",Douglas C-47 DakotaKN585,22/22(0)
26 Jul 1946,"Near Huatesco, Veracruz, MexicoCommunicaciones Aereos de veracruz",Fairchild Pilgrim 100AXA-DEJ,9/9(0)
07 Aug 1946,"Oslo, NorwayBritish European Airways",Douglas C-47A-10-DKG-AHCS,3/16(0)
09 Aug 1946,"Lakehurst, New JerseyAtlantic Central Airlines",Lockheed 18-56 Lodestar?,4/6(0)
14 Aug 1946,"Malta-Luqa, MaltaBOAC",Douglas C-47AG-AGHT,1/5(0)
20 Aug 1946,"Rouen, FranceBritish Overseas Airways",Avro 691 Lancastrian 1G-AGMF,8/9(0)
21 Aug 1946,"Moline, IllinoisTrans Luxury Airlines",Douglas C-47-DLN51878,2/25(0)
24 Aug 1946,"Cairo, EgyptMisrair",Avro AnsonSU-ADJ,6/9(0)
31 Aug 1946,"Near Prince Rupert, British Columbia, CanadaQueen Charlotte Airlines",Supermarine Stranraer (flying boat)CF-BYL,7/7(0)
03 Sep 1946,"Holtug, DenmarkAir France",Douglas DC-3 (C-53D-DO)F-BADB,22/22(0)
04 Sep 1946,"Le Bourget, FranceAir France",Douglas DC-3F-BAXD,20/26(1)
05 Sep 1946,"Elko, NevadaTrans-Luxury Airlines",Douglas DC-3 (C-47-A5-DL)NC57850,21/22(0)
07 Sep 1946,"Bathurst, GambiaBritish South American Airways",Avro 685 York IG-AHEW,24/24(0)
07 Sep 1946,"Nome, AlaskaMt. McKinley Airfreight",Douglas C-47A?,4/4(0)
15 Sep 1946,"Estevan, Saskatchewan, CanadaMilitary - Royal Canadian Air Force",Douglas C-47A Dakota962,21/21(0)
17 Sep 1946,"Brussels, BelgiumSabena",Douglas C-47-DLOO-AUR,1/7(0)
18 Sep 1946,"Near Gander, NewfoundlandSabena",Douglas DC-4-1009OO-CBG,27/44(0)
19 Sep 1946,"Near Tripoli, LibyaMilitary -Royal Air Force",Avro LancasterNX690,25/25(0)
20 Sep 1946,"Lochi Mountain, ChinaChina National Aviation Corporation",Curtiss Wright C-46?,28/28(0)
25 Sep 1946,Near Hong Kong International AirportMilitary - Royal Air Force,Douglas C-47B-25-DKKN414,19/19(0)
27 Sep 1946,"Near Milngavie, Stirlingshire, ScotlandRailway Air Service Ltd.",de Havilland 89A Dragon RapideG-AFFF,7/7(0)
27 Sep 1946,"Rio Doce, BrazilPanair do Brasil",Douglas DC-3A-228DPP-PCH,25/25(0)
03 Oct 1946,"Stephenville, NewfoundlandAmerican Overseas Airlines",Douglas C-54E-5-DONC90904,39/39(0)
06 Oct 1946,"Off Penang, MalayaMilitary -Royal Air Force",Avro 685 York 1MW125,21/21(0)
07 Oct 1946,"Apeldoorn, The NetherlandsMilitary - Royal Netherlands Naval Air Service",Fairey Firefly MK1PP526,1/1(22)
08 Oct 1946,"Cheyenne, WyomingUnited Air Lines",Douglas DC-4N30051,2/41(0)
10 Oct 1946,"Near Sefrou, MoroccoAir Ocean",Junkers Ju-52/3mF-BCAA,16/16(0)
17 Oct 1946,"Laramie, WyomingNational Air Transport Services",Douglas DC-3NC38942,13/13(0)
17 Oct 1946,"Near Chitral, IndiaMilitary - Royal Air Force",Douglas C-47BKN236,11/11(0)
23 Oct 1946,"Gebel Kalamoun, EgyptSocotra",Junkers JU-52/3mF-BCHD,1/24(0)
01 Nov 1946,"St Leger-la-Montagne, FranceCTA Languedoc Roussillon",AAC-1 ToucanF-BCAD,23/27(0)
05 Nov 1946,"Near Moscow, RussiaAeroflot",Douglas C-47SSSR-L946,13/26(?)
11 Nov 1946,"Cleveland, OhioUnited Air Lines",Douglas DC-3 (C-53D-DO)N19947,2/20(0)
13 Nov 1946,"Lebec, CaliforniaWestern Airlines",Douglas C-53D-DO (DC-3)NC18645,11/11(0)
13 Nov 1946,"Near Cofre de Perote, MexicoEmpressa Commun. Aéreas de Veracruz",Douglas DC-3XA-FOZ,15/15(0)
14 Nov 1946,"Amsterdam, NetherlandsKLM Royal Dutch Airlines",Douglas C-47A-90 DL (DC-3)PH-TBW,26/26(0)
16 Nov 1946,North Pacific OceanMilitary - U.S. Army Air Forces,Douglas C-47?,23/23(0)
26 Nov 1946,"San Jose, Costa RicaLineas Aéreas Costarricenses  LACSA",Douglas DC-3 (C-47A-90-DL)RX-76,22/22(0)
30 Nov 1946,"El Palomar, ArgentinaFuerza Aérea Argentina",Vickers 620 Viking 1T-1,5/18(0)
04 Dec 1946,"Meshed, IranAeroflot",Lisunov Li-2?,24/24(0)
10 Dec 1946,"Near Osaka, JapanMilitary - U.S. Army Air Forces",Curtiss-Wright C-46F-CU44-78604,24/24(0)
10 Dec 1946,"Toledo, WashingtonMilitary - U.S. Marine Corps",Curtiss-Wright R5C-139528,32/32(0)
14 Dec 1946,"Mt. Banahaur, PhilippinesFar Eastern Air Transport",Douglas DC-3 (C-47-B-1-DK)PI-C-1,12/14(0)
17 Dec 1946,"Caribbean, Atlantic OceanWinged Cargo Inc.",Douglas C-47ANC88876,7/7(0)
23 Dec 1946,"Near Rio de Janeiro, BrazilFAMA (Argentina)",Avro  685 York ILV-XIG,21/21(0)
24 Dec 1946,"Near San Diego, CaliforniaWestern Airlines",Douglas DC-3 ( C-53D-DO)NC45395,12/12(0)
25 Dec 1946,"Near Wusong, Jiangsu, ChinaCNAC",Curtiss C-47?,13/34(3)
25 Dec 1946,"Near Shanghai, ChinaCNAC",Douglas DC-3?,20/30(0)
25 Dec 1946,"Shanghai, ChinaCATA",Douglas C-47?,11/11(5)
28 Dec 1946,"Walshville, IllinoisKansas City Southern Skyways",Douglas C-47ANC58024,2/2(0)
28 Dec 1946,"Near Shannon, IrelandTrans Continental and Western Air",Lockheed 049 ConsellationNC86505,13/23(0)
28 Dec 1946,"Michigan City, IndianaAmerican Airlines",Douglas DC-3 (C-50A-DO)N15577,2/21(0)
03 Jan 1947,"Sao Paulo, BrazilPanair do Brasil",Sikorsky S-43B (flying boat)PP-PBN,11/14(0)
05 Jan 1947,"Tsingtao, ChinaChina National Aviation Corporation",Curtis C-46XT-T51,43/43(0)
05 Jan 1947,"Carmel, New JerseyNationwide Air Transport",Douglas DC-3N50046,3/23(0)
11 Jan 1947,"Near Lympne, EnglandBritish Overseas Airways",Douglas C-47A-1-DKG-AGJX,8/16(0)
11 Jan 1947,"Off Laoag, ChinaFar Eastern Air Transport",Douglas DC-4 (C-54A-DO)PI-C100,7/42(0)
12 Jan 1947,"Near Galax, VirginiaEastern Air Lines",Douglas DC-3NC88872,18/19(0)
14 Jan 1947,"Near Puebla, MexicoMilitary - Mexican Air Force",Lockheed C-60 Lodestar60-03,21/21(0)
22 Jan 1947,"Puesto Araujo, ColombiaAVIANCA",Douglas DC-3 ( C-47-DO)C-108,17/17(0)
25 Jan 1947,"Croydon, Surrey, EnglandSpencer Airways / Ceskoslovenske Aerolinie",Douglas C-47 / Douglas DC-3VP-YFD/OK-WDB,12/23(0)
25 Jan 1947,"Chongqing, ChinaChina National Aviation Corporation",Douglas DC-3?,19/19(0)
25 Jan 1947,Hong KongPhilippine Air Lines,Douglas C-47API-C12,4/4(0)
26 Jan 1947,"Copenhagen, DenmarkKLM Royal Dutch Airlines",Douglas C- C47A-30DKPH-TCR,22/22(0)
28 Jan 1947,"Near Hankow, ChinaChina National Aviation Corporation",Curtiss C-46?,25/26(0)
01 Feb 1947,"Near Lisbon, PortugalAir France",Douglas DC-3CF-BAXQ,19/20(0)
05 Feb 1947,"Harrington, DelawareInternational Air Freight",Douglas DC-3NC54451,1/3(0)
06 Feb 1947,"Pedro Bernardo, SpainAerovias Cuba International",Douglas C-54B-15-DONC44567,11/11(0)
14 Feb 1947,"Denver, ColoradoSlick Airways",Curtiss C-46ENC59486,2/2(0)
15 Feb 1947,"Near Bogota, ColombiaAVIANCA",Douglas DC-4C-114,53/53(0)
15 Feb 1947,"Off Terracina, ItalyMilitary - Corrieri Aerei Militari",Savoia-Marchetti SM-95I-ABQH,16/16(0)
21 Feb 1947,"Chungking, ChinaMilitary - Chinese Air Force",Douglas C-47?,21/21(0)
26 Feb 1947,"China Sea, Pacific OceanMilitary - Royal Air Force",Douglas C-47BKK120,12/12(0)
05 Mar 1947,"Near Georgia, USSRAeroflot",Doublas C-47CCCP-L952,23/23(0)
08 Mar 1947,"L'isola di Ischia, ItalyMilitary - Royal Air Force",Douglas C-47BKK122,13/13(0)
08 Mar 1947,"Cordillera, ColombiaVIARCO",Douglas C-47-DLC-400,9/9(0)
14 Mar 1947,"Mt. Moucherolles, FranceAir France",Douglas DC-3 (C-47A-90-DL)F-BAXO,23/23(0)
17 Mar 1947,"Near Medellin, ColombiaTACA",Lockheed 18 LodestarYS-28,8/8(0)
18 Mar 1947,"Negombo, Sri LankaMilitary - Royal Air Force",Avro York C1MW198,11/15(0)
08 Apr 1947,"Near Caracas, VenezuelaLinea Aeropostal Venezolana",Douglas C-47AYV-C-ALO,27/27(0)
13 Apr 1947,"Off Dakar, SenegalBritish South American Airways",Avro 685 York IG-AHEZ,6/15(0)
22 Apr 1947,"Columbus, GeorgiaDelta Air Lines",Douglas DC-3 (C-47DL) /Vultee BT-13N49657 / N55312,10/10(0)
28 Apr 1947,"Near Vancouver, British Columbia, CanadaTrans Canada Air Lines",Lockheed 18 LoadstarCF-TDF,15/15(0)
04 May 1947,"Near Nicoya, Guanacaste, Costa RicaTACA",Lockheed 18 LoadstarTI-84,11/11(0)
11 May 1947,"Delaware Bay, New JerseyTrans Continental and Western Air",Lockheed L-049 ConstellationNC86508,4/4(0)
16 May 1947,"Near Khabarovsk, RussiaAeroflot",Douglas DC-47CCCP-L1048,22/22(0)
29 May 1947,"La Guardia Airport, Queens, New YorkUnited Air Lines",Douglas C-54BNC30046,43/48(0)
29 May 1947,"Atsugi, JapanMilitary - U.S. Army Air Forces",Douglas C-54D-DC (DC-4)42-72553,40/40(0)
29 May 1947,"Hjedinsfjordur, IcelandFlugefelag",Douglas DC-3TF-ISI,25/25(0)
30 May 1947,"Port Deposit, MarylandEastern Air Lines",Douglas C-54B-15-DONC88814,53/53(0)
04 Jun 1947,"Near Gemenos, FranceAir France",Junkers Ju-52F-BANB,2/2(0)
11 Jun 1947,"Near Natal, BrazilFlota Aérea Mercante Argentina",Avro 691 LancastrianLV-ACS,5/18(0)
13 Jun 1947,"Leesburg, VirginiaPennsylvania Central Airlines",Douglas DC-4 (C-54-DO)NC88842,50/50(0)
19 Jun 1947,"Al Mayadin, SyriaPan American World Airways",Lockheed 049-46-21 ConstellationNC88845,14/36(0)
21 Jun 1947,"Black Sea, Gulf of KarkinitskyAeroflot",Li-2CCCP-L4138,8/29(0)
01 Jul 1947,"Near Eaeka, French CameroonsAir France",Junkers JU-52/3mF-BALF,13/13(0)
13 Jul 1947,"Melbourne, FloridaBurke Air Transport",Douglas DC-3NC79024,14/36(0)
15 Jul 1947,"Vichy ,FranceAero Cargo",Junkers Ju-52/3mF-BCHH,1/19(0)
16 Jul 1947,"Az-Zubair, IranBritish Overseas Airways",Avro 685 YorkG-AGMR,6/6(0)
25 Jul 1947,"Moron, ArgentinaFlota Aérea Mercante Argentina",Avro 685 York ILV-XIH,2/6(2)
31 Jul 1947,"Near Yumen, ChinaMilitary - Chinese Air Force",Douglas C-47?,26/26(0)
02 Aug 1947,"Andes, ArgentinaBritish South American Airways",Avro 691 Lancastrian 3G-AGWH,11/11(0)
06 Aug 1947,North Pacific OceanMilitary - U.S. Navy,Consolidated PBY-5A Catalina34032,20/20(0)
08 Aug 1947,"New York, New YorkAmerican Airlines",Douglas DC-3CNX88787,3/5(0)
09 Aug 1947,"Malmo, SwedenAB Aerotransport",Douglas DC-3FSE-BAY,1/5(0)
13 Aug 1947,"Bucharest, RomaniaTransporturile Aeriene Romano-Sovietice",Lisunov Li-2YR-TAV,3/8(0)
21 Aug 1947,"Hanksville, UtahSlick Airways",Curtiss C-46ENC59488,3/3(0)
23 Aug 1947,"Bahrain, Persian GulfBritish Overseas Airways",Short Sandringham 5 (flying boat)G-AHZB,10/26(0)
28 Aug 1947,"Harsiad, NorwayNorwegian Airlines",Short Sandringham (flying boat)LN-IAV,35/35(0)
08 Oct 1947,"Near El Paso, TexasAmerican Airlines",Douglas DC-4NC90432,0/54(0)
14 Oct 1947,"Ocean, 800 miles east of NewfoundlandAmerican International Airways",Boeing 314A NC18612,0/69(0)
16 Oct 1947,"Off Cartegena, SpainSociete Aerienne du Littoral",Bristol 170 Freighter IF-BCJN,41/43(0)
16 Oct 1947,"Sylva, North CarolinaStratofreight",Douglas DC-3?,3/3(0)
24 Oct 1947,"Bryce Canyon, UtahUnited Air Lines",Douglas DC-6NC37510,53/53(0)
26 Oct 1947,"Near Mt. Hymettus, GreeceAB Aerotransport",Douglas DC-4-1009SE-BBG,44/44(0)
26 Oct 1947,"Annette Island, AlaskaPan American World Airways",Douglas DC-4ANC88920,18/18(0)
31 Oct 1947,"Near Srinagar, IndiaMilitary - Royal Indian Air Force",Douglas C-47BM965,25/25(0)
02 Nov 1947,"Off Barrio Rizal, PhilippinesPhilippine Air Express",Douglas DC-3?,5/5(0)
11 Nov 1947,"Gallup, New MexicoAmerican Airlines",Douglas DC-6NC90741,0/25(0)
13 Nov 1947,"Near Bouchox, FranceSociété Auxiliare de Navigation Aérienne",Junkers Ju-52/3mF-BDYH,2/2(0)
18 Nov 1947,"Newcastle, DelawareTrans Continental and Western Air",Lockheed L-049-46-26 ConstellationNC86507,5/5(0)
18 Nov 1947,"Ravello, ItalyTrafik-Turist-Transportflyg",Bristol 170 Freighter XISE-BNG,20/25(0)
21 Nov 1947,"Phouznicie, RomaniaTARS",Lisunov Li-2YR-TAI,13/26(0)
27 Nov 1947,?China National Aviation Corporation,Douglas DC-3?,2/3(0)
27 Nov 1947,"Yakutat, AlaskaColumbia Air Cargo",Douglas DC-3CNC95486,13/13(0)
27 Nov 1947,"Montenegrin Mountains, YugoslaviaJAT Yugoslav Airlines",Lisunov LI-2YU-BAD,22/22(0)
28 Nov 1947,"Near Trappa, ItalyMilitary - U.S. Air Force",Douglas C-47B43-48736,20/20(0)
30 Nov 1947,"Seattle, WashingtonAlaska Airlines",Douglas C-54ANC-91009,8/28(1)
10 Dec 1947,"Near Goose Bay, LabradorMilitary - U.S. Air Force",Douglas C-54D-DC (DC-4)42-72572,23/29(0)
11 Dec 1947,"Near Memphis, TennesseeMilitary - U.S. Air Force",Douglas C-47-DK44-76366,20/20(0)
18 Dec 1947,"Krasnoyarsk, RussiaAeroflot",Ilyushin IL-12CCCP-L1343,9/25(0)
23 Dec 1947,"Kunming, ChinaAir Transport",Short  S-29 Stirling VOO-XAC,25/30(0)
27 Dec 1947,"Korangi Creek, IndiaAir India",Douglas DC-3 (C-47)VT-AUG,23/23(0)
28 Dec 1947,"Leon, MexicoServicio Aéreo Panini",Douglas DC-2-172XA-GEE,5/10(3)
06 Jan 1948,"Paris, FranceAir France",Douglas DC-3DF-BAXC,16/16(0)
06 Jan 1948,"Ruislip, EnglandBritish European Airways",Vickers 610 Viking 1BG-AHPK,1/18(0)
07 Jan 1948,"Near Savannah, GeorgiaCoastal Air Lines",Douglas DC-3N60331,18/27(0)
08 Jan 1948,"Near Palestro, AlgeriaTransport Comp. Algerienne de T.A.",Douglas DC-3F-BDLG,9/9(0)
11 Jan 1948,"Ciudad Havajillo, Dominican RepublicDominicana",Douglas DC-3HI-6,32/32(0)
13 Jan 1948,"Oxon Hill, MarylandEastern Air Lines",Douglas DC-3-201FNC28384,5/9(0)
20 Jan 1948,"Near Mukden, ChinaChina National Aviation Corporation",Curtiss C-46?,11/54(0)
28 Jan 1948,"Diablo Mts., CaliforniaAirline Transport Carriers",Douglas DC-3 (C-47B-DK)NC36480,32/32(0)
30 Jan 1948,"Atlantic Ocean, NE of BermudaBritish South American Airways",Avro 688 Tudor IG-AHNP,31/31(0)
07 Feb 1948,"Off Jacksonville, FloridaEastern Air Lines",Lockheed L-649 ConstellationNC112A,1/69(0)
10 Feb 1948,"Near Padalarang, IndonesiaKLM Royal Dutch Airlines",Douglas DC-3PK-REA,19/19(0)
12 Feb 1948,"Ubrichstein, GermanyDet Danske Luftfartselskab",Douglas DC-3OY-DCI,12/21(0)
20 Feb 1948,"Collesalvetti,  ItalySocietà Aerea Teseo",Douglas C-47-DLI-REGI,7/10(0)
21 Feb 1948,"Off St. Marcouf, FranceLatecoere Airlines",Latecoere 631 (flying boat)F-BDRD,14/14(0)
23 Feb 1948,"Davao, PhilippinesCommercial Airways",Douglas DC-3PI-C262,12/12(0)
25 Feb 1948,"Columbus, OhioBruning Aviation",Douglas C-47ANC36498,2/2(0)
27 Feb 1948,"Near Belem, BrazilMilitary - Brazilian Air Force",Douglas C-472040,23/26(0)
02 Mar 1948,"Off Perpignan, FranceSociété de Transports Aériens",Junkers Ju-52/3mF-BBYC,4/4(0)
02 Mar 1948,"Heathrow Airport, London, EnglandSabena",Douglas DC-3OO-AWH,20/22(0)
07 Mar 1948,"Near Skalafell, IcelandLoftleidir Icelandic Airlines",Avro AnsonTF-RVL,4/4(0)
10 Mar 1948,"Chicago, IllinoisDelta Air Lines",Douglas DC-4NC37478,12/13(0)
12 Mar 1948,"Mt. Sanford, AlaskaNorthwest Orient Airlines",Douglas DC-4 (C-54G-1-DO)NC95422,30/30(0)
13 Mar 1948,"Sierra Cristais, BrazilCruzeiro",Douglas DC-3PP-CBX,6/6(0)
15 Mar 1948,"Villa Pinzon, ColombiaAgencia Interamericana de Aviada",Douglas DC-3 (C47-DL)C-1002,14/14(0)
27 Mar 1948,"Monte Cardo, Corsica, FranceIndian National Airlines",Vickers 604 Viking 1BVT-CEL,19/19(0)
05 Apr 1948,"Near Berlin, GermanyBritish European Airways / Military - Soviet Air Force",Vickers Viking 1B & Soviet YAK-3 fighterG-AIVP,14/14(0)
10 Apr 1948,"Kano, NigeriaAir France",Douglas DC-4F-BBDC,1/6(0)
15 Apr 1948,"Shannon, IrelandPan American World Airways",Lockheed L-049-46 ConstellationNC-88858,30/31(0)
18 Apr 1948,Territory of New GuineaNew Guinea Air Traders,Lockheed Hudson IIIAVH-ALA,37/37(0)
24 Apr 1948,Near Irkutsk RussiaAeroflot,Lisnov Li-2CCCP-L4460,28/29(0)
13 May 1948,"Mount Coron, FranceSkyways of London",de Havilland Dove 1G-AJOU,4/4(0)
13 May 1948,"Near Magazini, Belgian Congo (Zaire)Sabena",Douglas DC-4-1009OO-CBE,31/32(0)
15 May 1948,"Vrede, South AfricaMercury Aviation",Douglas DC-3-455ZS-BWY,13/13(0)
16 May 1948,"Columbus, OhioSlick Airways",Curtiss C-46ENC59489,2/2(0)
20 May 1948,"Near Bovingdon, EnglandAir Transport Charter",Douglas C-47AG-AJBG,3/4(0)
22 May 1948,"Khabarovsk, RussiaAeroflot",Douglas C-47 CCCP-L1073,8/9(0)
25 May 1948,"Albacete, SpainAlpha Airways",Handley Page Halifax C-8G-AKBA,4/4(1)
10 Jun 1948,Isle of ManHargreaves Airways,de Havilland DH-89A Dragon RapideG-AIUI,6/8(0)
17 Jun 1948,"Mount Carmel, PennsylvaniaUnited Air Lines",Douglas DC-6NC37506,43/43(0)
17 Jun 1948,"Over the Pearl River, ChinaCathy Pacific",PBY Catalina?,25/26(0)
26 Jun 1948,"Maiquetia, VenezuelaLinea Aeropostal Venezolana",Douglas DC-3YV-C-AHI,1/17(0)
01 Jul 1948,"Keerbergen, BelgiumAvio Linee Italiane",Fiat G.212CPI-ELSA,8/12(0)
04 Jul 1948,"Northolt, Middlesex, EnglandScandinavian Airlines (SAS)",Douglas DC-6 / RAF YorkSE-BDA/ MW248,39/39(0)
07 Jul 1948,"Djiring, French Indo-ChinaAigle Azur",Douglas DC-3F-BCYP,16/16(0)
14 Jul 1948,"Belem, BrazilAerovias Brasil",Douglas C-47APP-AVO,5/5(0)
16 Jul 1948,Pacific Ocean between Hong Kong and MacaoCathay Pacific Airways,Consolidated OA-10 CatalinaVR-HDT,25/26(0)
24 Jul 1948,"Cap-des-Rosiers, Quebec, CanadaRimouski Airlines",Douglas DC-3CF-FKY,29/29(0)
29 Jul 1948,"Tsingtao, ChinaCivil Air Transport",Curtiss C-46D-20-CUXT-822,19/19(0)
29 Jul 1948,"Buenos Aires, ArgentinaALFA",Short Sandringham 2 (flying boat)LV-AAP,18/24(0)
01 Aug 1948,"1,200 miles off Dakar, Atlantic OceanAir France",Latecoere 631 (flying boat)F-BDRC,52/52(0)
