Date,Location/Operator,Aircraft Type/Registration,Fatalities
05 Dec 1921,"Near Murchinson River, AustraliaWest Australian Airways",Bristol 28 TourerG-AUDI,2/2(0)
14 Jan 1922,"Paris, FranceHandley Page Transport",Handley Page O/10G-EATN,5/5(5)
21 Feb 1922,"Near Norfolk, VirginiaMilitary - U.S. Army Air Service",Dirigible Roma (airship)?,34/45(0)
22 Mar 1922,North Atlantic OceanAero Limited,Aeromarine Model 85 (flying boat)?,5/6(0)
07 Apr 1922,"Grandvilliers, FranceDaimler Airways / Grands Express Aeriens",de Havilland DH-18 / Farman F-60 GoliathG-EAOW/FGEAD,7/7(0)
08 Apr 1922,"Pao Ting Fou, China?",??,17/17(0)
03 Jun 1922,"Off Folkestone, Kent, EnglandCie des Messageries Aeriennes",Bleriot Spad 27F-ACMH,3/3(0)
04 Jul 1922,"Fuhlsbuttel, Germany?",LVG C VI?,2/3(0)
16 Jul 1922,"Near Saverne, Lorraine, FranceCompagnie Franco-Roumaine de Navigaation Aerienne",Potez 29F-FREI,5/5(0)
26 Jul 1922,"Cadix, SpainGrands Express Aeriens",Breguet 14F-ALVE,3/3(0)
07 Sep 1922,"Indianapolis, IndianaUS Aerial Mail Service",De Havilland DH-4227,1/1(0)
02 Oct 1922,"Venice, Italyde Havilland Air Service",de Havilland DH-9G-EAYT,4/4(0)
25 Oct 1922,"Larache, MoroccoGrands Express Aeriens",Breguet 14?,2/2(0)
03 Dec 1922,"Fez, MoroccoGrands Express Aeriens",Breguet 14F-ALNA,1/1(0)
10 Jan 1923,"Ajaccio, FranceAmee de l'Air",Lioré-et-Olivier H-13F-AEIB,3/4(0)
17 Jan 1923,"Barcelona, SpainGrands Express Aeriens",Breguet 14F-ALJU,1/1(0)
18 Jan 1923,"Cheyenne, WyomingUS Aerial Mail Service",De Havilland DH-4223,1/1(0)
26 Feb 1923,"Meadville, PennsylvaniaUS Aerial Mail Service",De Havilland DH-4291,1/1(0)
14 May 1923,"Near Amiens, Picrdie, FranceGrands Express Aeriens (Air Union)",Farman F-60 GoliathF-AEBY,6/6(0)
27 Aug 1923,"East Mallling, United KingdomAir Union",Farman F.60 GoliathF-AECB,1/11(0)
27 Aug 1923,"Bucharest, RomaniaCampagnie France Roumaine",Blériot Spad 46F-AEGN,2/2(0)
07 Sep 1923,"Colton, OhioUS Aerial Mail Service",De Havilland DH-4283,1/1(0)
14 Sep 1923,"Near Ivinghoe, Buckinghamshire, EnglandDaimler Airways",de Havilland DH-34G-EBBS,5/5(0)
18 Nov 1923,RussiaCCCP,Junkers F-13D-257,3/5(0)
06 Dec 1923,"Castalia, OhioUS Aerial Mail Service",De Havilland DH-4318,1/1(0)
23 Dec 1923,Over the Mediterranean SeaMilitary - French Navy,Zeppelin Dixmunde (airship)L-72,52/52(0)
24 Dec 1923,"Egbert, WYUS Aerial Mail Service",De Havilland DH-4315,1/1(0)
07 Mar 1924,"Grampian, PennsylvaniaUS Aerial Mail Service",De Havilland DH-4327,1/1(0)
24 Apr 1924,Over the English ChannelKLM Royal Dutch Airlines,Fokker F.IIIH-NABS,3/3(0)
08 Jun 1924,"Barranquilla, ColombiaSCADTA",Junkers F-13A16,5/5(0)
01 Aug 1924,United StatesUS Aerial Mail Service,De Havilland DH-4297,1/1(0)
06 Nov 1924,"Cabrerolles, FranceGrands Express Aeriens",Breguet 14F-AFBD,1/1(0)
21 Dec 1924,"Goshen, IndianaUS Aerial Mail Service",De Havilland DH-4311,1/1(0)
24 Dec 1924,"Purley, EnglandImperial Airways",de Havilland DH-34BG-EBBX,8/8(0)
22 Mar 1925,"Near Tiflis, Georgia, USSRZakavia",Junkers F-13R-RECA,5/5(0)
