"region","indicator","Unit","Date","Value"
"Total country","All Items","Index Dec 2016 = 100","2017M5","102.6"
"Total country","All Items","Index Dec 2016 = 100","2017M6","102.8"
"Total country","All Items","Index Dec 2016 = 100","2017M7","103"
"Total country","All Items","Index Dec 2016 = 100","2017M8","103.1"
"Total country","All Items","Index Dec 2016 = 100","2017M9","103.6"
"Total country","All Items","Index Dec 2016 = 100","2017M10","103.9"
"Total country","All Items","Index Dec 2016 = 100","2017M11","104"
"Total country","All Items","Index Dec 2016 = 100","2017M12","104.5"
"Total country","All Items","Index Dec 2016 = 100","2018M1","104.9"
"Total country","All Items","Index Dec 2016 = 100","2018M2","105.6"
"Total country","All Items","Index Dec 2016 = 100","2018M3","106"
"Total country","All Items","Index Dec 2016 = 100","2018M4","106.7"
"Total country","All Items","Index Dec 2016 = 100","2018M5","107"
"Total country","All Items","Index Dec 2016 = 100","2018M6","107.3"
"Total country","All Items","Index Dec 2016 = 100","2018M7","108.2"
"Total country","All Items","Index Dec 2016 = 100","2018M8","108.1"
"Total country","All Items","Index Dec 2016 = 100","2018M9","108.6"
"Total country","All Items","Index Dec 2016 = 100","2018M10","109.1"
"Total country","All Items","Index Dec 2016 = 100","2018M11","109.3"
"Total country","All Items","Index Dec 2016 = 100","2018M12","109.1"
"Total country","All Items","Index Dec 2016 = 100","2019M1","109"
"Total country","All Items","Index Dec 2016 = 100","2019M2","109.9"
"Total country","All Items","Index Dec 2016 = 100","2019M3","110.8"
"Total country","All Items","Index Dec 2016 = 100","2019M4","111.4"
